,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,STATUS,LAST UPDATE,AVAILABLE BIKES,DATES
0,42,dublin,SMITHFIELD NORTH,Smithfield North,"{'lat': 53.349562, 'lng': -6.278198}",False,False,30,18,OPEN,1641392086000,12,2022-01-05 14:14:46
1,30,dublin,PARNELL SQUARE NORTH,Parnell Square North,"{'lat': 53.353462, 'lng': -6.265305}",False,False,20,6,OPEN,1641392209000,14,2022-01-05 14:16:49
2,54,dublin,CLONMEL STREET,Clonmel Street,"{'lat': 53.336021, 'lng': -6.26298}",False,False,33,24,OPEN,1641392166000,9,2022-01-05 14:16:06
3,108,dublin,AVONDALE ROAD,Avondale Road,"{'lat': 53.359405, 'lng': -6.276142}",False,False,35,13,OPEN,1641392209000,22,2022-01-05 14:16:49
4,56,dublin,MOUNT STREET LOWER,Mount Street Lower,"{'lat': 53.33796, 'lng': -6.24153}",False,False,40,23,OPEN,1641392174000,17,2022-01-05 14:16:14
5,6,dublin,CHRISTCHURCH PLACE,Christchurch Place,"{'lat': 53.343368, 'lng': -6.27012}",False,False,20,12,OPEN,1641392295000,8,2022-01-05 14:18:15
6,18,dublin,GRANTHAM STREET,Grantham Street,"{'lat': 53.334123, 'lng': -6.265436}",False,False,30,22,OPEN,1641392330000,8,2022-01-05 14:18:50
7,32,dublin,PEARSE STREET,Pearse Street,"{'lat': 53.344304, 'lng': -6.250427}",False,False,30,22,OPEN,1641392270000,8,2022-01-05 14:17:50
8,52,dublin,YORK STREET EAST,York Street East,"{'lat': 53.338755, 'lng': -6.262003}",False,False,32,30,OPEN,1641392114000,2,2022-01-05 14:15:14
9,48,dublin,EXCISE WALK,Excise Walk,"{'lat': 53.347777, 'lng': -6.244239}",False,False,40,30,OPEN,1641392220000,10,2022-01-05 14:17:00
10,13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,"{'lat': 53.336074, 'lng': -6.252825}",False,False,30,22,OPEN,1641392134000,8,2022-01-05 14:15:34
11,43,dublin,PORTOBELLO ROAD,Portobello Road,"{'lat': 53.330091, 'lng': -6.268044}",False,False,30,13,OPEN,1641391822000,17,2022-01-05 14:10:22
12,31,dublin,PARNELL STREET,Parnell Street,"{'lat': 53.350929, 'lng': -6.265125}",False,False,20,7,OPEN,1641392012000,13,2022-01-05 14:13:32
13,98,dublin,FREDERICK STREET SOUTH,Frederick Street South,"{'lat': 53.341515, 'lng': -6.256853}",False,False,40,26,OPEN,1641391871000,14,2022-01-05 14:11:11
14,23,dublin,CUSTOM HOUSE,Custom House,"{'lat': 53.348279, 'lng': -6.254662}",False,False,30,23,OPEN,1641392182000,7,2022-01-05 14:16:22
15,106,dublin,RATHDOWN ROAD,Rathdown Road,"{'lat': 53.35893, 'lng': -6.280337}",False,False,40,25,OPEN,1641392103000,15,2022-01-05 14:15:03
16,112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),"{'lat': 53.357841, 'lng': -6.251557}",False,False,30,17,OPEN,1641392005000,13,2022-01-05 14:13:25
17,68,dublin,HANOVER QUAY,Hanover Quay,"{'lat': 53.344115, 'lng': -6.237153}",False,False,40,33,OPEN,1641391853000,7,2022-01-05 14:10:53
18,74,dublin,OLIVER BOND STREET,Oliver Bond Street,"{'lat': 53.343893, 'lng': -6.280531}",False,False,30,15,OPEN,1641392123000,15,2022-01-05 14:15:23
19,87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,"{'lat': 53.347477, 'lng': -6.28525}",False,False,38,28,OPEN,1641392057000,10,2022-01-05 14:14:17
20,84,dublin,BROOKFIELD ROAD,Brookfield Road,"{'lat': 53.339005, 'lng': -6.300217}",False,False,30,12,OPEN,1641392329000,18,2022-01-05 14:18:49
21,90,dublin,BENSON STREET,Benson Street,"{'lat': 53.344153, 'lng': -6.233451}",False,False,40,27,OPEN,1641391836000,13,2022-01-05 14:10:36
22,11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,"{'lat': 53.334295, 'lng': -6.258503}",False,False,30,24,OPEN,1641392025000,6,2022-01-05 14:13:45
23,17,dublin,GOLDEN LANE,Golden Lane,"{'lat': 53.340803, 'lng': -6.267732}",False,False,20,14,OPEN,1641391919000,6,2022-01-05 14:11:59
24,45,dublin,DEVERELL PLACE,Deverell Place,"{'lat': 53.351464, 'lng': -6.255265}",False,False,30,23,OPEN,1641391853000,7,2022-01-05 14:10:53
25,114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),"{'lat': 53.333653, 'lng': -6.248345}",False,False,40,29,OPEN,1641392205000,11,2022-01-05 14:16:45
26,72,dublin,JOHN STREET WEST,John Street West,"{'lat': 53.343105, 'lng': -6.277167}",False,False,31,12,OPEN,1641392111000,19,2022-01-05 14:15:11
27,63,dublin,FENIAN STREET,Fenian Street,"{'lat': 53.341428, 'lng': -6.24672}",False,False,35,28,OPEN,1641392100000,7,2022-01-05 14:15:00
28,113,dublin,MERRION SQUARE SOUTH,Merrion Square South,"{'lat': 53.338614, 'lng': -6.248606}",False,False,40,31,OPEN,1641391954000,9,2022-01-05 14:12:34
29,91,dublin,SOUTH DOCK ROAD,South Dock Road,"{'lat': 53.341833, 'lng': -6.231291}",False,False,30,23,OPEN,1641392281000,7,2022-01-05 14:18:01
30,99,dublin,CITY QUAY,City Quay,"{'lat': 53.346637, 'lng': -6.246154}",False,False,30,23,OPEN,1641392091000,7,2022-01-05 14:14:51
31,9,dublin,EXCHEQUER STREET,Exchequer Street,"{'lat': 53.343034, 'lng': -6.263578}",False,False,24,16,OPEN,1641392220000,8,2022-01-05 14:17:00
32,67,dublin,THE POINT,The Point,"{'lat': 53.346867, 'lng': -6.230852}",False,False,40,37,OPEN,1641392207000,3,2022-01-05 14:16:47
33,116,dublin,BROADSTONE,Broadstone,"{'lat': 53.3547, 'lng': -6.272314}",False,False,30,17,OPEN,1641392121000,13,2022-01-05 14:15:21
34,55,dublin,HATCH STREET,Hatch Street,"{'lat': 53.33403, 'lng': -6.260714}",False,False,36,17,OPEN,1641392292000,19,2022-01-05 14:18:12
35,62,dublin,LIME STREET,Lime Street,"{'lat': 53.346026, 'lng': -6.243576}",False,False,40,36,OPEN,1641391768000,4,2022-01-05 14:09:28
36,5,dublin,CHARLEMONT PLACE,Charlemont Street,"{'lat': 53.330662, 'lng': -6.260177}",False,False,40,24,OPEN,1641391890000,16,2022-01-05 14:11:30
37,97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,"{'lat': 53.342113, 'lng': -6.310015}",False,False,40,20,OPEN,1641392123000,20,2022-01-05 14:15:23
